"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
2;"L1";"0603L";1;"3.3uH";;;
3;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
4;"K1";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
5;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
6;"R2,R1";"0603R";2;"100R";;;
7;"K2";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
8;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
9;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
10;"C2,C6";"1206C";2;"10uF";;;
11;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
12;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
13;"R6,R5";"0603R";2;"10k";;;
14;"K5,K3";"easyC-connector";2;"easyC-SMD";;;
15;"Q1";"SOT-23-3";1;"MMBT4403";;;
16;"R3";"0603R";1;"20k";;;
17;"C5,C4,C3,C1";"0603C";4;"100nF";;;
18;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
19;"K6";"DSHP03TS-S";1;"DSHP03TS-S";;;
20;"U1";"SOP-16";1;"HX711";;;
21;"C7";"0603C";1;"0.1uF";;;
22;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
23;"R4";"0603R";1;"8.2k";;;
24;"";"Version1.0.0.";1;"";;;
